26297,Forslag til direktiv om industrielle emissioner,2024-11-11 15:03:02.607,7
26317,Forslag til forordning om passagerers rettigheder ved sørejser og rejser på indre vandveje,2023-10-31 13:15:46.520,7
26590,"MEDDELELSE FRA KOMMISSIONEN Udnyttelse af fordelene ved elektronisk fakturering i Europa ",2023-06-30 13:51:30.977,7
26756,Forslag til afgørelser om hhv. undertegnelse og indgåelse af aftalen om lufttrafik mellem EU og Sydkorea,2025-03-07 15:10:10.160,7
26768,"Beskyttelse af vilde fugle (kodificeret udgave)  ",2024-10-29 15:44:02.203,7
26966,Forslag til forordning om markedsføring af plantebeskyttelsesmidler,2024-04-12 10:08:57.700,7
26975,BERETNING FRA KOMMISSIONEN efter direktivet (art. 8) om beskatning af renter og royalties mellem associerede selskaber,2023-03-08 12:54:01.007,7
26990,"RAPPORT OM  OVERHOLDELSEN AF CHARTERET OM GRUNDLÆGGENDE RETTIGHEDER ",2024-10-10 11:47:00.847,7
27423,Om den indenrigs- og udenrigspolitiske situation.,2025-04-02 09:55:28.110,2
27474,UUF alm. del,2023-04-19 13:25:57.103,4
27886,Om arbejdstid for mobile lønmodtagere inden for vejtransportsektoren.,2024-10-08 15:40:30.667,3
27922,MEDDELELSE FRA KOMMISSIONEN En mere ansvarlig handels- og investeringspolitik,2024-02-23 10:19:39.850,7
27925,RAPPORT FRA KOMMISSIONEN En ny kurs: Kvalitetskontrol af EU's lovgivning om sikkerhed for passagerskibe,2024-09-24 12:59:18.260,7
28041,"FORSLAG TIL RÅDETS DIREKTIV OM SAMORDNING AF REGLERNE VEDRØRENDE INSIDER-HANDEL ",2024-12-13 12:02:15.640,7
28134,Om ændring af forretningsorden for Folketinget.,2023-09-06 15:50:28.093,5
28511,"Forslag til afgørelse om indgåelse samt undertegnelse og midlertidig anvendelse af den multilaterale aftale  mellem  FN's mission i Kosovo og AL, BIH, BG, HR, IS, MK, N, SRB, MNE og R om et luftfartsområde (FELO)  ",2022-12-08 14:34:37.147,7
28532,Forslag til FORORDNING om oprettelsen af en europæisk indskudsforsikringsordning (En europæisk indskydergarantiordning - EDIS),2024-05-29 13:55:08.210,7
28533,"Meddelelse fra Kommissionen ""Hen imod fuldførelsen af bankunionen""",2024-02-23 11:51:15.487,7
